Afghanistan Kabul
Albania Tirana
Algeria Algiers
Andorra Andorra
Angola Luanda
Antigua and
Argentina Buenos
Armenia Yerevan
Australia Canberra
Austria Vienna
Azerbaijan Baku
Bahamas Nassau
Bahrain Manama
Bangladesh Dhaka
Barbados Bridgetown
Belarus Minsk
Belgium Brussels
Belize Belmopan
Benin Porto
Bhutan Thimphu
Bolivia Sucre
Bosnia and
Botswana Gaborone
Brazil Brasilia
Brunei Bandar
Bulgaria Sofia
Burkina Faso
Burundi Bujumbura
Cambodia Phnom
Cameroon Yaoundé
Canada Ottawa
Cape Verde
Central African
Chad N'Djamena
Chile Santiago
China Beijing
Colombia Bogota
Comoros Moroni
Costa Rica
Croatia Zagreb
Cuba Havana
Cyprus Nicosia
Czech Republic
Democratic Republic
Denmark Copenagen
Djibouti Djibouti
Dominica Roseau
Dominican Republic
East Timor
Ecuador Quito
Egypt Cairo
El Salvador
Equatorial Guinea
Eritrea Asmara
Estonia Tallinn
Eswatini Mbabane
Ethiopia Addis
Fiji Suva
Finland Helsinki
France Paris
Gabon Libreville
Gambia Banjul
Georgia Tbilisi
Germany Berlin
Ghana Accra
Greece Athens
Grenada St.
Guatemala Guatemala
Guinea Conakry
Guinea-Bissau Bissau
Guyana Georgetown
Haiti Port-au-Prince
Honduras Tegucigalpa
Hungary Budapest
Iceland Reykjavík
India New
Indonesia Jakarta
Iran Tehran
Iraq Baghdad
Ireland Dublin
Israel Jerusalem
Italy Rome
Ivory Coast
Jamaica Kingston
Japan Tokyo
Jordan Amman
Kazakhstan Astana
Kenya Nairobi
Kiribati Tarawa
Korea, North
Korea, South
Kosovo Pristina
Kuwait Kuwait
Kyrgyzstan Bishkek
Laos Vientiane
Latvia Riga
Lebanon Beirut
Lesotho Maseru
Liberia Monrovia
Libya Tripoli
Liechtenstein Vaduz
Lithuania Vilnius
Luxembourg Luxembourg
Madagascar Antananarivo
Malawi Lilongwe
Malaysia Kuala
Maldives Malé
Mali Bamako
Malta Valletta
Marshall Islands
Mauritania Nouakchott
Mauritius Port
Mexico Mexico
Micronesia Palikir
Moldova Chisinau
Monaco Monaco
Mongolia Ulaanbaatar
Montenegro Podgorica
Morocco Rabat
Mozambique Maputo
Myanmar Naypyidaw
Namibia Windhoek
Nauru Yaren
Nepal Kathmandu
Netherlands Amsterdam
New Zealand
Nicaragua Managua
Niger Niamey
Nigeria Abuja
North Macedonia
Norway Oslo
Oman Muscat
Pakistan Islamabad
Palau Melekeok
Palestine East
Panama Panama
Papua New
Paraguay Asunción
Peru Lima
Philippines Manila
Poland Warsaw
Portugal Lisbon
Qatar Doha
Republic of
Romania Bucharest
Russia Moscow
Rwanda Kigali
Saint Kitts
Saint Lucia
Saint Vincent
Samoa Apia
San Marino
São Tomé
Saudi Arabia
Senegal Dakar
Serbia Belgrade
Seychelles Victoria
Sierra Leone
Singapore Singapore
Slovakia Bratislava
Slovenia Ljubljana
Solomon Islands
Somalia Mogadishu
South Africa
South Sudan
Spain Madrid
Sri Lanka
Sudan Khartoum
Suriname Paramaribo
Sweden Stockholm
Switzerland Bern
Syria Damascus
Taiwan Taipei
Tajikistan Dushanbe
Tanzania Dodoma
Thailand Bangkok
Togo Lomé
Tonga Nukualofa
Trinidad and
Tunisia Tunis
Turkey Ankara
Turkmenistan Ashgabat
Tuvalu Funafuti
Uganda Kampala
Ukraine Kiev
United Arab
United Kingdom
United States
Uruguay Montevideo
Uzbekistan Tashkent
Vanuatu Port
Vatican City
Venezuela Caracas
Vietnam Hanoi
Yemen Sana'a
Zambia Lusaka
Zimbabwe Harare
